reviewer_name,rating,date,visit_time,review_text
Wahyono Marjimin,5,2 tahun lalu,,"Dari cerita di postingan dan netizen sih kelihatan mantap dan sengat mengoda untuk ke sana, mudah-mudah di beri waktu serta rizki agak bisa ke sana, Aamiin"
Nurhy Nurhy,5,setahun lalu,,Sangat menarik
Hadi Porwanto,5,2 tahun lalu,,Kualitas bagus
Tri Margo,5,2 tahun lalu,,
