reviewer_name,rating,date,review_text
Moch Ludiyanto Kamilullah,5,setahun lalu,
Madura Sumenep,5,setahun lalu,
Cicik Sariningrum,5,setahun lalu,
Thoriqurrofi` Faiz Muhammad,5,setahun lalu,
