reviewer_name,rating,date,visit_time,review_text
Aminkulakan@gmail Kulakan,1,4 minggu lalu,,"Bawa tamu gk dapet free, alasannya bosnya gk ada,lain kali kalo bawa tamu bawa ke tempat lain"
Kazuma 12,5,2 tahun lalu,,"Area parkir luas, deket masjid, pas disini tidak banyak kios yg buka"
Indra Dc,5,setahun lalu,,Sangat baik untuk liburan dan cocok untuk keluarga
